# t            x            u_real       u_imag       u_abs
     0.000000    -3.141593    -1.000000     0.000000     1.000000
     0.000000    -2.827433    -0.951057     0.000000     0.951057
     0.000000    -2.513274    -0.809017     0.000000     0.809017
     0.000000    -2.199115    -0.587785     0.000000     0.587785
     0.000000    -1.884956    -0.309017     0.000000     0.309017
     0.000000    -1.570796     0.000000     0.000000     0.000000
     0.000000    -1.256637     0.309017     0.000000     0.309017
     0.000000    -0.942478     0.587785     0.000000     0.587785
     0.000000    -0.628319     0.809017     0.000000     0.809017
     0.000000    -0.314159     0.951057     0.000000     0.951057
     0.000000     0.000000     1.000000     0.000000     1.000000
     0.000000     0.314159     0.951057     0.000000     0.951057
     0.000000     0.628319     0.809017     0.000000     0.809017
     0.000000     0.942478     0.587785     0.000000     0.587785
     0.000000     1.256637     0.309017     0.000000     0.309017
     0.000000     1.570796     0.000000     0.000000     0.000000
     0.000000     1.884956    -0.309017     0.000000     0.309017
     0.000000     2.199115    -0.587785     0.000000     0.587785
     0.000000     2.513274    -0.809017     0.000000     0.809017
     0.000000     2.827433    -0.951057     0.000000     0.951057
     0.000000     3.141593    -1.000000     0.000000     1.000000

     0.001100    -3.141593    -0.999999    -0.001100     1.000000
     0.001100    -2.827433    -0.951056    -0.001038     0.951057
     0.001100    -2.513274    -0.809017    -0.000883     0.809017
     0.001100    -2.199115    -0.587785    -0.000641     0.587785
     0.001100    -1.884956    -0.309017    -0.000337     0.309017
     0.001100    -1.570796     0.000000    -0.000000     0.000000
     0.001100    -1.256637     0.309017     0.000337     0.309017
     0.001100    -0.942478     0.587785     0.000641     0.587785
     0.001100    -0.628319     0.809017     0.000883     0.809017
     0.001100    -0.314159     0.951056     0.001038     0.951057
     0.001100     0.000000     0.999999     0.001091     1.000000
     0.001100     0.314159     0.951056     0.001038     0.951057
     0.001100     0.628319     0.809017     0.000883     0.809017
     0.001100     0.942478     0.587785     0.000641     0.587785
     0.001100     1.256637     0.309017     0.000337     0.309017
     0.001100     1.570796     0.000000    -0.000000     0.000000
     0.001100     1.884956    -0.309017    -0.000337     0.309017
     0.001100     2.199115    -0.587785    -0.000641     0.587785
     0.001100     2.513274    -0.809017    -0.000883     0.809017
     0.001100     2.827433    -0.951056    -0.001038     0.951057
     0.001100     3.141593    -0.999999    -0.001100     1.000000

     0.002200    -3.141593    -0.999998    -0.002200     1.000000
     0.002200    -2.827433    -0.951054    -0.002075     0.951057
     0.002200    -2.513274    -0.809015    -0.001765     0.809017
     0.002200    -2.199115    -0.587784    -0.001283     0.587785
     0.002200    -1.884956    -0.309016    -0.000674     0.309017
     0.002200    -1.570796    -0.000000    -0.000000     0.000000
     0.002200    -1.256637     0.309016     0.000674     0.309017
     0.002200    -0.942478     0.587784     0.001283     0.587785
     0.002200    -0.628319     0.809015     0.001765     0.809017
     0.002200    -0.314159     0.951054     0.002075     0.951057
     0.002200     0.000000     0.999998     0.002182     1.000000
     0.002200     0.314159     0.951054     0.002075     0.951057
     0.002200     0.628319     0.809015     0.001765     0.809017
     0.002200     0.942478     0.587784     0.001283     0.587785
     0.002200     1.256637     0.309016     0.000674     0.309017
     0.002200     1.570796    -0.000000    -0.000000     0.000000
     0.002200     1.884956    -0.309016    -0.000674     0.309017
     0.002200     2.199115    -0.587784    -0.001283     0.587785
     0.002200     2.513274    -0.809015    -0.001765     0.809017
     0.002200     2.827433    -0.951054    -0.002075     0.951057
     0.002200     3.141593    -0.999998    -0.002200     1.000000

     0.003300    -3.141593    -0.999995    -0.003300     1.000000
     0.003300    -2.827433    -0.951052    -0.003113     0.951057
