# t            x            u_real       u_imag       u_abs
     0.000000     0.000000     1.000000     0.000000     1.000000
     0.000000     0.157080     0.854636     0.000000     0.854636
     0.000000     0.314159     0.730403     0.000000     0.730403
     0.000000     0.471239     0.624228     0.000000     0.624228
     0.000000     0.628319     0.533488     0.000000     0.533488
     0.000000     0.785398     0.455938     0.000000     0.455938
     0.000000     0.942478     0.389661     0.000000     0.389661
     0.000000     1.099557     0.333018     0.000000     0.333018
     0.000000     1.256637     0.284610     0.000000     0.284610
     0.000000     1.413717     0.243238     0.000000     0.243238
     0.000000     1.570796     0.207880     0.000000     0.207880
     0.000000     1.727876     0.177661     0.000000     0.177661
     0.000000     1.884956     0.151836     0.000000     0.151836
     0.000000     2.042035     0.129764     0.000000     0.129764
     0.000000     2.199115     0.110901     0.000000     0.110901
     0.000000     2.356194     0.094780     0.000000     0.094780
     0.000000     2.513274     0.081003     0.000000     0.081003
     0.000000     2.670354     0.069228     0.000000     0.069228
     0.000000     2.827433     0.059165     0.000000     0.059165
     0.000000     2.984513     0.050564     0.000000     0.050564
     0.000000     3.141593     0.043214     0.000000     0.043214

     0.001400     0.000000     0.999999     0.001400     1.000000
     0.001400     0.157080     0.854714    -0.001194     0.854715
     0.001400     0.314159     0.730402    -0.001027     0.730403
     0.001400     0.471239     0.624228    -0.000876     0.624228
     0.001400     0.628319     0.533488    -0.000748     0.533488
     0.001400     0.785398     0.455938    -0.000640     0.455938
     0.001400     0.942478     0.389661    -0.000547     0.389661
     0.001400     1.099557     0.333018    -0.000467     0.333018
     0.001400     1.256637     0.284609    -0.000399     0.284610
     0.001400     1.413717     0.243237    -0.000341     0.243238
     0.001400     1.570796     0.207879    -0.000292     0.207880
     0.001400     1.727876     0.177661    -0.000249     0.177661
     0.001400     1.884956     0.151836    -0.000213     0.151836
     0.001400     2.042035     0.129764    -0.000182     0.129764
     0.001400     2.199115     0.110901    -0.000156     0.110901
     0.001400     2.356194     0.094780    -0.000133     0.094780
     0.001400     2.513274     0.081001    -0.000114     0.081001
     0.001400     2.670354     0.069236    -0.000144     0.069236
     0.001400     2.827433     0.060825     0.000107     0.060825
     0.001400     2.984513     0.047186     0.058882     0.075456
     0.001400     3.141593    -0.999999    -0.001400     1.000000

     0.002800     0.000000     0.999996     0.002800     1.000000
     0.002800     0.157080     0.854948    -0.002371     0.854951
     0.002800     0.314159     0.730402    -0.002063     0.730405
     0.002800     0.471239     0.624225    -0.001752     0.624228
     0.002800     0.628319     0.533486    -0.001497     0.533488
     0.002800     0.785398     0.455936    -0.001279     0.455938
     0.002800     0.942478     0.389660    -0.001093     0.389661
     0.002800     1.099557     0.333017    -0.000934     0.333018
     0.002800     1.256637     0.284608    -0.000799     0.284610
     0.002800     1.413717     0.243237    -0.000682     0.243238
     0.002800     1.570796     0.207879    -0.000583     0.207880
     0.002800     1.727876     0.177661    -0.000498     0.177661
     0.002800     1.884956     0.151835    -0.000426     0.151836
     0.002800     2.042035     0.129764    -0.000364     0.129764
     0.002800     2.199115     0.110901    -0.000311     0.110901
     0.002800     2.356194     0.094780    -0.000266     0.094780
     0.002800     2.513274     0.080992    -0.000230     0.080992
     0.002800     2.670354     0.069291    -0.000470     0.069293
     0.002800     2.827433     0.065731     0.000966     0.065738
     0.002800     2.984513     0.037129     0.116815     0.122574
     0.002800     3.141593    -0.999996    -0.002800     1.000000

     0.004200     0.000000     0.999991     0.004200     1.000000
     0.004200     0.157080     0.855334    -0.003512     0.855341
     0.004200     0.314159     0.730404    -0.003116     0.730411
     0.004200     0.471239     0.624221    -0.002628     0.624226
     0.004200     0.628319     0.533483    -0.002245     0.533488
     0.004200     0.785398     0.455934    -0.001919     0.455938
     0.004200     0.942478     0.389658    -0.001640     0.389661
     0.004200     1.099557     0.333015    -0.001402     0.333018
     0.004200     1.256637     0.284607    -0.001198     0.284610
     0.004200     1.413717     0.243235    -0.001024     0.243238
     0.004200     1.570796     0.207878    -0.000875     0.207880
     0.004200     1.727876     0.177660    -0.000748     0.177661
     0.004200     1.884956     0.151834    -0.000639     0.151836
     0.004200     2.042035     0.129763    -0.000546     0.129764
     0.004200     2.199115     0.110900    -0.000467     0.110901
     0.004200     2.356194     0.094779    -0.000397     0.094779
     0.004200     2.513274     0.080961    -0.000356     0.080961
     0.004200     2.670354     0.069487    -0.001145     0.069497
     0.004200     2.827433     0.073662     0.003299     0.073736
     0.004200     2.984513     0.020614     0.172877     0.174101
     0.004200     3.141593    -0.999991    -0.004200     1.000000

     0.005600     0.000000     0.999984     0.005600     1.000000
