# t            x            u_real       u_imag       u_abs
     0.000000     0.000000     0.000000     0.000000     0.000000
     0.000000     0.157080     0.157080     0.000000     0.157080
     0.000000     0.314159     0.314159     0.000000     0.314159
     0.000000     0.471239     0.471239     0.000000     0.471239
     0.000000     0.628319     0.628319     0.000000     0.628319
     0.000000     0.785398     0.785398     0.000000     0.785398
     0.000000     0.942478     0.942478     0.000000     0.942478
     0.000000     1.099557     1.099557     0.000000     1.099557
     0.000000     1.256637     1.256637     0.000000     1.256637
     0.000000     1.413717     1.413717     0.000000     1.413717
     0.000000     1.570796     1.570796     0.000000     1.570796
     0.000000     1.727876     1.727876     0.000000     1.727876
     0.000000     1.884956     1.884956     0.000000     1.884956
     0.000000     2.042035     2.042035     0.000000     2.042035
     0.000000     2.199115     2.199115     0.000000     2.199115
     0.000000     2.356194     2.356194     0.000000     2.356194
     0.000000     2.513274     2.513274     0.000000     2.513274
     0.000000     2.670354     2.670354     0.000000     2.670354
     0.000000     2.827433     2.827433     0.000000     2.827433
     0.000000     2.984513     2.984513     0.000000     2.984513
     0.000000     3.141593     3.141593     0.000000     3.141593

     0.001400     0.000000     0.000000     0.000000     0.000000
     0.001400     0.157080     0.157080     0.000000     0.157080
     0.001400     0.314159     0.314159     0.000000     0.314159
     0.001400     0.471239     0.471239    -0.000000     0.471239
     0.001400     0.628319     0.628319     0.000000     0.628319
     0.001400     0.785398     0.785398     0.000000     0.785398
     0.001400     0.942478     0.942478     0.000000     0.942478
     0.001400     1.099557     1.099557    -0.000000     1.099557
     0.001400     1.256637     1.256637     0.000000     1.256637
     0.001400     1.413717     1.413717    -0.000000     1.413717
     0.001400     1.570796     1.570796     0.000000     1.570796
     0.001400     1.727876     1.727876     0.000000     1.727876
     0.001400     1.884956     1.884956     0.000000     1.884956
     0.001400     2.042035     2.042035    -0.000000     2.042035
     0.001400     2.199115     2.199115    -0.000000     2.199115
     0.001400     2.356194     2.356194     0.000000     2.356194
     0.001400     2.513274     2.513274     0.000000     2.513274
     0.001400     2.670354     2.670354    -0.000000     2.670354
     0.001400     2.827433     2.827434    -0.000004     2.827434
     0.001400     2.984513     2.984637     0.000007     2.984637
     0.001400     3.141593     3.141590     0.004398     3.141593

     0.002800     0.000000     0.000000     0.000000     0.000000
     0.002800     0.157080     0.157080    -0.000000     0.157080
     0.002800     0.314159     0.314159     0.000000     0.314159
     0.002800     0.471239     0.471239    -0.000000     0.471239
     0.002800     0.628319     0.628319     0.000000     0.628319
     0.002800     0.785398     0.785398     0.000000     0.785398
     0.002800     0.942478     0.942478     0.000000     0.942478
     0.002800     1.099557     1.099557     0.000000     1.099557
     0.002800     1.256637     1.256637     0.000000     1.256637
     0.002800     1.413717     1.413717    -0.000000     1.413717
     0.002800     1.570796     1.570796    -0.000000     1.570796
     0.002800     1.727876     1.727876     0.000000     1.727876
     0.002800     1.884956     1.884956     0.000000     1.884956
     0.002800     2.042035     2.042035    -0.000000     2.042035
     0.002800     2.199115     2.199115    -0.000000     2.199115
     0.002800     2.356194     2.356194     0.000000     2.356194
     0.002800     2.513274     2.513274     0.000000     2.513274
     0.002800     2.670354     2.670353    -0.000000     2.670353
     0.002800     2.827433     2.827437    -0.000021     2.827437
     0.002800     2.984513     2.985008     0.000043     2.985008
     0.002800     3.141593     3.141580     0.008796     3.141593

     0.004200     0.000000     0.000000     0.000000     0.000000
     0.004200     0.157080     0.157080    -0.000000     0.157080
     0.004200     0.314159     0.314159     0.000000     0.314159
     0.004200     0.471239     0.471239    -0.000000     0.471239
     0.004200     0.628319     0.628319     0.000000     0.628319
     0.004200     0.785398     0.785398     0.000000     0.785398
     0.004200     0.942478     0.942478    -0.000000     0.942478
     0.004200     1.099557     1.099557     0.000000     1.099557
     0.004200     1.256637     1.256637     0.000000     1.256637
     0.004200     1.413717     1.413717     0.000000     1.413717
     0.004200     1.570796     1.570796    -0.000000     1.570796
     0.004200     1.727876     1.727876     0.000000     1.727876
     0.004200     1.884956     1.884956     0.000000     1.884956
     0.004200     2.042035     2.042035    -0.000000     2.042035
     0.004200     2.199115     2.199115    -0.000000     2.199115
     0.004200     2.356194     2.356194     0.000000     2.356194
     0.004200     2.513274     2.513274     0.000000     2.513274
     0.004200     2.670354     2.670351    -0.000001     2.670351
     0.004200     2.827433     2.827446    -0.000065     2.827446
     0.004200     2.984513     2.985620     0.000134     2.985620
     0.004200     3.141593     3.141565     0.013195     3.141593

     0.005600     0.000000     0.000000     0.000000     0.000000
     0.005600     0.157080     0.157080    -0.000000     0.157080
     0.005600     0.314159     0.314159     0.000000     0.314159
     0.005600     0.471239     0.471239    -0.000000     0.471239
     0.005600     0.628319     0.628319     0.000000     0.628319
     0.005600     0.785398     0.785398     0.000000     0.785398
     0.005600     0.942478     0.942478    -0.000000     0.942478
     0.005600     1.099557     1.099557     0.000000     1.099557
     0.005600     1.256637     1.256637    -0.000000     1.256637
     0.005600     1.413717     1.413717     0.000000     1.413717
     0.005600     1.570796     1.570796    -0.000000     1.570796
     0.005600     1.727876     1.727876     0.000000     1.727876
     0.005600     1.884956     1.884956     0.000000     1.884956
     0.005600     2.042035     2.042035    -0.000000     2.042035
     0.005600     2.199115     2.199115    -0.000000     2.199115
     0.005600     2.356194     2.356195     0.000000     2.356195
     0.005600     2.513274     2.513274     0.000000     2.513274
     0.005600     2.670354     2.670345    -0.000003     2.670345
     0.005600     2.827433     2.827471    -0.000149     2.827471
     0.005600     2.984513     2.986462     0.000308     2.986462
     0.005600     3.141593     3.141543     0.017593     3.141593

     0.007000     0.000000     0.000000     0.000000     0.000000
     0.007000     0.157080     0.157080    -0.000000     0.157080
     0.007000     0.314159     0.314159     0.000000     0.314159
     0.007000     0.471239     0.471239    -0.000000     0.471239
     0.007000     0.628319     0.628319     0.000000     0.628319
     0.007000     0.785398     0.785398     0.000000     0.785398
     0.007000     0.942478     0.942478    -0.000000     0.942478
     0.007000     1.099557     1.099557     0.000000     1.099557
     0.007000     1.256637     1.256637    -0.000000     1.256637
     0.007000     1.413717     1.413717    -0.000000     1.413717
     0.007000     1.570796     1.570796    -0.000000     1.570796
     0.007000     1.727876     1.727876     0.000000     1.727876
     0.007000     1.884956     1.884956     0.000000     1.884956
     0.007000     2.042035     2.042035    -0.000000     2.042035
     0.007000     2.199115     2.199115    -0.000000     2.199115
     0.007000     2.356194     2.356195     0.000000     2.356195
     0.007000     2.513274     2.513274     0.000001     2.513274
     0.007000     2.670354     2.670333    -0.000008     2.670333
     0.007000     2.827433     2.827521    -0.000281     2.827521
     0.007000     2.984513     2.987522     0.000590     2.987522
     0.007000     3.141593     3.141516     0.021991     3.141593

     0.008400     0.000000     0.000000     0.000000     0.000000
     0.008400     0.157080     0.157080    -0.000000     0.157080
     0.008400     0.314159     0.314159     0.000000     0.314159
     0.008400     0.471239     0.471239    -0.000000     0.471239
     0.008400     0.628319     0.628319     0.000000     0.628319
     0.008400     0.785398     0.785398     0.000000     0.785398
     0.008400     0.942478     0.942478    -0.000000     0.942478
     0.008400     1.099557     1.099557     0.000000     1.099557
     0.008400     1.256637     1.256637    -0.000000     1.256637
     0.008400     1.413717     1.413717    -0.000000     1.413717
     0.008400     1.570796     1.570796    -0.000000     1.570796
     0.008400     1.727876     1.727876     0.000000     1.727876
     0.008400     1.884956     1.884956     0.000000     1.884956
     0.008400     2.042035     2.042035    -0.000000     2.042035
     0.008400     2.199115     2.199115    -0.000000     2.199115
     0.008400     2.356194     2.356195     0.000000     2.356195
     0.008400     2.513274     2.513273     0.000003     2.513273
     0.008400     2.670354     2.670314    -0.000019     2.670314
     0.008400     2.827433     2.827608    -0.000471     2.827608
     0.008400     2.984513     2.988783     0.001000     2.988783
     0.008400     3.141593     3.141482     0.026389     3.141593

     0.009800     0.000000     0.000000     0.000000     0.000000
     0.009800     0.157080     0.157080    -0.000000     0.157080
     0.009800     0.314159     0.314159     0.000000     0.314159
     0.009800     0.471239     0.471239    -0.000000     0.471239
     0.009800     0.628319     0.628319     0.000000     0.628319
     0.009800     0.785398     0.785398     0.000000     0.785398
     0.009800     0.942478     0.942478    -0.000000     0.942478
     0.009800     1.099557     1.099557     0.000000     1.099557
     0.009800     1.256637     1.256637     0.000000     1.256637
     0.009800     1.413717     1.413717    -0.000000     1.413717
     0.009800     1.570796     1.570796    -0.000000     1.570796
     0.009800     1.727876     1.727876     0.000000     1.727876
     0.009800     1.884956     1.884956     0.000000     1.884956
     0.009800     2.042035     2.042035    -0.000000     2.042035
     0.009800     2.199115     2.199115    -0.000000     2.199115
     0.009800     2.356194     2.356195     0.000000     2.356195
     0.009800     2.513274     2.513270     0.000006     2.513270
     0.009800     2.670354     2.670283    -0.000039     2.670283
     0.009800     2.827433     2.827746    -0.000724     2.827747
     0.009800     2.984513     2.990225     0.001560     2.990226
     0.009800     3.141593     3.141442     0.030787     3.141593

     0.011200     0.000000     0.000000     0.000000     0.000000
     0.011200     0.157080     0.157080    -0.000000     0.157080
     0.011200     0.314159     0.314159     0.000000     0.314159
     0.011200     0.471239     0.471239    -0.000000     0.471239
     0.011200     0.628319     0.628319     0.000000     0.628319
     0.011200     0.785398     0.785398     0.000000     0.785398
     0.011200     0.942478     0.942478    -0.000000     0.942478
     0.011200     1.099557     1.099557     0.000000     1.099557
     0.011200     1.256637     1.256637     0.000000     1.256637
     0.011200     1.413717     1.413717    -0.000000     1.413717
     0.011200     1.570796     1.570796    -0.000000     1.570796
     0.011200     1.727876     1.727876     0.000000     1.727876
     0.011200     1.884956     1.884956     0.000000     1.884956
     0.011200     2.042035     2.042035    -0.000000     2.042035
     0.011200     2.199115     2.199115    -0.000000     2.199115
     0.011200     2.356194     2.356195     0.000001     2.356195
     0.011200     2.513274     2.513266     0.000010     2.513266
     0.011200     2.670354     2.670240    -0.000073     2.670240
     0.011200     2.827433     2.827953    -0.001041     2.827953
     0.011200     2.984513     2.991829     0.002286     2.991830
     0.011200     3.141593     3.141396     0.035185     3.141593

     0.012600     0.000000     0.000000     0.000000     0.000000
     0.012600     0.157080     0.157080    -0.000000     0.157080
     0.012600     0.314159     0.314159     0.000000     0.314159
     0.012600     0.471239     0.471239    -0.000000     0.471239
     0.012600     0.628319     0.628319     0.000000     0.628319
     0.012600     0.785398     0.785398     0.000000     0.785398
     0.012600     0.942478     0.942478    -0.000000     0.942478
     0.012600     1.099557     1.099557     0.000000     1.099557
     0.012600     1.256637     1.256637     0.000000     1.256637
     0.012600     1.413717     1.413717    -0.000000     1.413717
     0.012600     1.570796     1.570796    -0.000000     1.570796
     0.012600     1.727876     1.727876     0.000000     1.727876
     0.012600     1.884956     1.884956     0.000000     1.884956
     0.012600     2.042035     2.042035    -0.000000     2.042035
     0.012600     2.199115     2.199115    -0.000000     2.199115
     0.012600     2.356194     2.356196     0.000001     2.356196
     0.012600     2.513274     2.513259     0.000017     2.513259
     0.012600     2.670354     2.670182    -0.000126     2.670182
     0.012600     2.827433     2.828242    -0.001422     2.828242
     0.012600     2.984513     2.993569     0.003190     2.993571
     0.012600     3.141593     3.141343     0.039583     3.141593

     0.014000     0.000000     0.000000     0.000000     0.000000
     0.014000     0.157080     0.157080    -0.000000     0.157080
     0.014000     0.314159     0.314159     0.000000     0.314159
     0.014000     0.471239     0.471239    -0.000000     0.471239
     0.014000     0.628319     0.628319     0.000000     0.628319
     0.014000     0.785398     0.785398     0.000000     0.785398
     0.014000     0.942478     0.942478    -0.000000     0.942478
     0.014000     1.099557     1.099557     0.000000     1.099557
     0.014000     1.256637     1.256637     0.000000     1.256637
     0.014000     1.413717     1.413717    -0.000000     1.413717
     0.014000     1.570796     1.570796    -0.000000     1.570796
     0.014000     1.727876     1.727876     0.000000     1.727876
     0.014000     1.884956     1.884956     0.000000     1.884956
     0.014000     2.042035     2.042035    -0.000000     2.042035
     0.014000     2.199115     2.199115    -0.000000     2.199115
     0.014000     2.356194     2.356197     0.000003     2.356197
     0.014000     2.513274     2.513248     0.000026     2.513248
     0.014000     2.670354     2.670109    -0.000205     2.670109
     0.014000     2.827433     2.828631    -0.001863     2.828632
     0.014000     2.984513     2.995423     0.004282     2.995426
     0.014000     3.141593     3.141285     0.043981     3.141593

     0.015400     0.000000     0.000000     0.000000     0.000000
     0.015400     0.157080     0.157080    -0.000000     0.157080
     0.015400     0.314159     0.314159     0.000000     0.314159
     0.015400     0.471239     0.471239    -0.000000     0.471239
     0.015400     0.628319     0.628319     0.000000     0.628319
     0.015400     0.785398     0.785398     0.000000     0.785398
     0.015400     0.942478     0.942478    -0.000000     0.942478
     0.015400     1.099557     1.099557     0.000000     1.099557
     0.015400     1.256637     1.256637     0.000000     1.256637
     0.015400     1.413717     1.413717    -0.000000     1.413717
     0.015400     1.570796     1.570796    -0.000000     1.570796
     0.015400     1.727876     1.727876     0.000000     1.727876
     0.015400     1.884956     1.884956     0.000000     1.884956
     0.015400     2.042035     2.042035    -0.000000     2.042035
     0.015400     2.199115     2.199115    -0.000000     2.199115
     0.015400     2.356194     2.356198     0.000005     2.356198
     0.015400     2.513274     2.513229     0.000038     2.513229
     0.015400     2.670354     2.670021    -0.000318     2.670021
     0.015400     2.827433     2.829135    -0.002356     2.829136
     0.015400     2.984513     2.997365     0.005567     2.997370
     0.015400     3.141593     3.141220     0.048379     3.141593

