# t            x            u_real       u_imag       u_abs
     0.001400     0.000000     0.999999     0.001400     1.000000
     0.001400     0.062832     1.064788     0.000756     1.064788
     0.001400     0.125664     1.133899     0.000789     1.133899
     0.001400     0.188496     1.207432     0.000845     1.207432
     0.001400     0.251327     1.285731     0.000900     1.285731
     0.001400     0.314159     1.369107     0.000959     1.369108
     0.001400     0.376991     1.457891     0.001021     1.457891
     0.001400     0.439823     1.552432     0.001087     1.552432
     0.001400     0.502655     1.653104     0.001158     1.653104
     0.001400     0.565487     1.760304     0.001233     1.760304
     0.001400     0.628319     1.874456     0.001313     1.874456
     0.001400     0.691150     1.996010     0.001398     1.996010
     0.001400     0.753982     2.125447     0.001488     2.125447
     0.001400     0.816814     2.263277     0.001585     2.263278
     0.001400     0.879646     2.410046     0.001688     2.410046
     0.001400     0.942478     2.566332     0.001797     2.566332
     0.001400     1.005310     2.732753     0.001914     2.732753
     0.001400     1.068142     2.909966     0.002038     2.909966
     0.001400     1.130973     3.098670     0.002170     3.098671
     0.001400     1.193805     3.299612     0.002310     3.299613
     0.001400     1.256637     3.513585     0.002460     3.513586
     0.001400     1.319469     3.741433     0.002620     3.741434
     0.001400     1.382301     3.984057     0.002790     3.984057
     0.001400     1.445133     4.242414     0.002971     4.242415
     0.001400     1.507964     4.517525     0.003163     4.517526
     0.001400     1.570796     4.810476     0.003368     4.810477
     0.001400     1.633628     5.122425     0.003587     5.122426
     0.001400     1.696460     5.454603     0.003819     5.454604
     0.001400     1.759292     5.808322     0.004067     5.808323
     0.001400     1.822124     6.184978     0.004331     6.184980
     0.001400     1.884956     6.586060     0.004612     6.586062
     0.001400     1.947787     7.013152     0.004911     7.013153
     0.001400     2.010619     7.467939     0.005229     7.467941
     0.001400     2.073451     7.952218     0.005568     7.952220
     0.001400     2.136283     8.467902     0.005929     8.467904
     0.001400     2.199115     9.017026     0.006314     9.017029
     0.001400     2.261947     9.601760     0.006723     9.601763
     0.001400     2.324779    10.224413     0.007159    10.224416
     0.001400     2.387610    10.887444     0.007624    10.887446
     0.001400     2.450442    11.593470     0.008118    11.593473
     0.001400     2.513274    12.345281     0.008645    12.345284
     0.001400     2.576106    13.145845     0.009205    13.145848
     0.001400     2.638938    13.998324     0.009802    13.998327
     0.001400     2.701770    14.906084     0.010438    14.906087
     0.001400     2.764602    15.872710     0.011115    15.872714
     0.001400     2.827433    16.902020     0.011835    16.902024
     0.001400     2.890265    17.998079     0.012604    17.998083
     0.001400     2.953097    19.165223     0.013415    19.165228
     0.001400     3.015929    20.407994     0.014176    20.407999
     0.001400     3.078761    21.730068     0.015457    21.730073
     0.001400     3.141593    23.140670     0.032397    23.140693

     0.002800     0.000000     0.999996     0.002800     1.000000
     0.002800     0.062832     1.064616     0.001551     1.064617
     0.002800     0.125664     1.133886     0.001560     1.133887
     0.002800     0.188496     1.207433     0.001689     1.207435
     0.002800     0.251327     1.285730     0.001801     1.285731
     0.002800     0.314159     1.369106     0.001917     1.369108
     0.002800     0.376991     1.457890     0.002042     1.457891
     0.002800     0.439823     1.552431     0.002174     1.552432
     0.002800     0.502655     1.653103     0.002315     1.653104
     0.002800     0.565487     1.760303     0.002465     1.760304
     0.002800     0.628319     1.874454     0.002625     1.874456
     0.002800     0.691150     1.996008     0.002795     1.996010
     0.002800     0.753982     2.125445     0.002977     2.125447
     0.002800     0.816814     2.263276     0.003170     2.263278
     0.002800     0.879646     2.410044     0.003375     2.410046
     0.002800     0.942478     2.566330     0.003594     2.566332
     0.002800     1.005310     2.732751     0.003827     2.732753
     0.002800     1.068142     2.909963     0.004075     2.909966
     0.002800     1.130973     3.098668     0.004340     3.098671
     0.002800     1.193805     3.299610     0.004621     3.299613
     0.002800     1.256637     3.513582     0.004921     3.513586
     0.002800     1.319469     3.741430     0.005240     3.741434
     0.002800     1.382301     3.984054     0.005580     3.984057
     0.002800     1.445133     4.242411     0.005941     4.242415
     0.002800     1.507964     4.517521     0.006327     4.517526
     0.002800     1.570796     4.810473     0.006737     4.810477
     0.002800     1.633628     5.122421     0.007174     5.122426
     0.002800     1.696460     5.454599     0.007639     5.454604
     0.002800     1.759292     5.808317     0.008134     5.808323
     0.002800     1.822124     6.184974     0.008662     6.184980
     0.002800     1.884956     6.586056     0.009224     6.586062
     0.002800     1.947787     7.013147     0.009822     7.013153
     0.002800     2.010619     7.467933     0.010459     7.467941
     0.002800     2.073451     7.952212     0.011137     7.952220
     0.002800     2.136283     8.467896     0.011859     8.467904
     0.002800     2.199115     9.017020     0.012628     9.017029
     0.002800     2.261947     9.601753     0.013447     9.601763
     0.002800     2.324779    10.224406     0.014319    10.224416
     0.002800     2.387610    10.887436     0.015247    10.887446
     0.002800     2.450442    11.593462     0.016236    11.593473
     0.002800     2.513274    12.345272     0.017289    12.345284
     0.002800     2.576106    13.145835     0.018410    13.145848
     0.002800     2.638938    13.998313     0.019604    13.998327
     0.002800     2.701770    14.906073     0.020875    14.906087
     0.002800     2.764602    15.872698     0.022229    15.872714
     0.002800     2.827433    16.902007     0.023671    16.902024
     0.002800     2.890265    17.998072     0.025212    17.998089
     0.002800     2.953097    19.165265     0.026791    19.165284
     0.002800     3.015929    20.407705     0.027940    20.407724
     0.002800     3.078761    21.726101     0.031826    21.726125
     0.002800     3.141593    23.140602     0.064794    23.140693

     0.004200     0.000000     0.999991     0.004200     1.000000
     0.004200     0.062832     1.064357     0.002418     1.064360
     0.004200     0.125664     1.133846     0.002303     1.133848
     0.004200     0.188496     1.207439     0.002526     1.207442
     0.004200     0.251327     1.285730     0.002702     1.285733
     0.004200     0.314159     1.369105     0.002876     1.369108
     0.004200     0.376991     1.457888     0.003063     1.457891
     0.004200     0.439823     1.552429     0.003261     1.552432
     0.004200     0.502655     1.653101     0.003473     1.653104
     0.004200     0.565487     1.760300     0.003698     1.760304
     0.004200     0.628319     1.874452     0.003938     1.874456
     0.004200     0.691150     1.996006     0.004193     1.996010
     0.004200     0.753982     2.125443     0.004465     2.125447
     0.004200     0.816814     2.263273     0.004754     2.263278
     0.004200     0.879646     2.410041     0.005063     2.410046
     0.004200     0.942478     2.566327     0.005391     2.566332
     0.004200     1.005310     2.732747     0.005741     2.732753
     0.004200     1.068142     2.909960     0.006113     2.909966
     0.004200     1.130973     3.098664     0.006509     3.098671
     0.004200     1.193805     3.299606     0.006931     3.299613
     0.004200     1.256637     3.513578     0.007381     3.513586
     0.004200     1.319469     3.741426     0.007860     3.741434
     0.004200     1.382301     3.984049     0.008369     3.984057
     0.004200     1.445133     4.242405     0.008912     4.242415
     0.004200     1.507964     4.517516     0.009490     4.517526
     0.004200     1.570796     4.810467     0.010105     4.810477
     0.004200     1.633628     5.122415     0.010761     5.122426
     0.004200     1.696460     5.454592     0.011458     5.454604
     0.004200     1.759292     5.808310     0.012201     5.808323
     0.004200     1.822124     6.184966     0.012993     6.184980
     0.004200     1.884956     6.586047     0.013835     6.586062
     0.004200     1.947787     7.013138     0.014732     7.013153
     0.004200     2.010619     7.467924     0.015688     7.467941
     0.004200     2.073451     7.952203     0.016705     7.952220
     0.004200     2.136283     8.467885     0.017788     8.467904
     0.004200     2.199115     9.017009     0.018942     9.017029
     0.004200     2.261947     9.601742     0.020170     9.601763
     0.004200     2.324779    10.224393     0.021478    10.224416
     0.004200     2.387610    10.887422     0.022871    10.887446
     0.004200     2.450442    11.593447     0.024354    11.593473
     0.004200     2.513274    12.345257     0.025934    12.345284
     0.004200     2.576106    13.145819     0.027615    13.145848
     0.004200     2.638938    13.998296     0.029406    13.998327
     0.004200     2.701770    14.906055     0.031313    14.906087
     0.004200     2.764602    15.872678     0.033343    15.872713
     0.004200     2.827433    16.901985     0.035511    16.902022
     0.004200     2.890265    17.998080     0.037833    17.998119
     0.004200     2.953097    19.165407     0.040026    19.165449
     0.004200     3.015929    20.406775     0.041054    20.406817
     0.004200     3.078761    21.720103     0.049837    21.720161
     0.004200     3.141593    23.140489     0.097191    23.140693

     0.005600     0.000000     0.999984     0.005600     1.000000
     0.005600     0.062832     1.064043     0.003373     1.064048
     0.005600     0.125664     1.133755     0.003020     1.133759
     0.005600     0.188496     1.207450     0.003349     1.207454
     0.005600     0.251327     1.285732     0.003604     1.285737
     0.005600     0.314159     1.369102     0.003836     1.369108
     0.005600     0.376991     1.457886     0.004083     1.457891
