# t            x            u_real       u_imag       u_abs
     0.000000    -2.000000    -0.909297     0.000000     0.909297
     0.000000    -1.800000    -0.973848     0.000000     0.973848
     0.000000    -1.600000    -0.999574     0.000000     0.999574
     0.000000    -1.400000    -0.985450     0.000000     0.985450
     0.000000    -1.200000    -0.932039     0.000000     0.932039
     0.000000    -1.000000    -0.841471     0.000000     0.841471
     0.000000    -0.800000    -0.717356     0.000000     0.717356
     0.000000    -0.600000    -0.564642     0.000000     0.564642
     0.000000    -0.400000    -0.389418     0.000000     0.389418
     0.000000    -0.200000    -0.198669     0.000000     0.198669
     0.000000     0.000000     0.000000     0.000000     0.000000
     0.000000     0.200000     0.198669     0.000000     0.198669
     0.000000     0.400000     0.389418     0.000000     0.389418
     0.000000     0.600000     0.564642     0.000000     0.564642
     0.000000     0.800000     0.717356     0.000000     0.717356
     0.000000     1.000000     0.841471     0.000000     0.841471
     0.000000     1.200000     0.932039     0.000000     0.932039
     0.000000     1.400000     0.985450     0.000000     0.985450
     0.000000     1.600000     0.999574     0.000000     0.999574
     0.000000     1.800000     0.973848     0.000000     0.973848
     0.000000     2.000000     0.909297     0.000000     0.909297

     0.001300    -2.000000    -0.909297    -0.001182     0.909297
     0.001300    -1.800000    -0.973847    -0.001262     0.973848
     0.001300    -1.600000    -0.999573    -0.001295     0.999574
     0.001300    -1.400000    -0.985449    -0.001277     0.985450
     0.001300    -1.200000    -0.932038    -0.001208     0.932039
     0.001300    -1.000000    -0.841470    -0.001090     0.841471
     0.001300    -0.800000    -0.717355    -0.000929     0.717356
     0.001300    -0.600000    -0.564642    -0.000732     0.564642
     0.001300    -0.400000    -0.389418    -0.000505     0.389418
     0.001300    -0.200000    -0.198669    -0.000257     0.198669
     0.001300     0.000000     0.000000    -0.000000     0.000000
     0.001300     0.200000     0.198669     0.000257     0.198669
     0.001300     0.400000     0.389418     0.000505     0.389418
     0.001300     0.600000     0.564642     0.000732     0.564642
     0.001300     0.800000     0.717355     0.000929     0.717356
     0.001300     1.000000     0.841470     0.001090     0.841471
     0.001300     1.200000     0.932038     0.001208     0.932039
     0.001300     1.400000     0.985449     0.001277     0.985450
     0.001300     1.600000     0.999573     0.001295     0.999574
     0.001300     1.800000     0.973847     0.001262     0.973848
     0.001300     2.000000     0.909297     0.001182     0.909297

     0.002600    -2.000000    -0.909294    -0.002364     0.909297
     0.002600    -1.800000    -0.973845    -0.002524     0.973848
     0.002600    -1.600000    -0.999570    -0.002590     0.999574
     0.002600    -1.400000    -0.985446    -0.002554     0.985450
     0.002600    -1.200000    -0.932036    -0.002415     0.932039
