# t            x            u_real       u_imag       u_abs
     0.001400     0.000000     0.999999    -0.001400     1.000000
     0.001400     0.157080     1.170079    -0.000821     1.170079
     0.001400     0.314159     1.369107    -0.000960     1.369108
     0.001400     0.471239     1.601977    -0.001124     1.601978
     0.001400     0.628319     1.874456    -0.001315     1.874456
     0.001400     0.785398     2.193280    -0.001538     2.193280
     0.001400     0.942478     2.566332    -0.001800     2.566332
     0.001400     1.099557     3.002836    -0.002106     3.002837
     0.001400     1.256637     3.513585    -0.002465     3.513586
     0.001400     1.413717     4.111206    -0.002884     4.111207
     0.001400     1.570796     4.810476    -0.003374     4.810477
     0.001400     1.727876     5.628684    -0.003948     5.628686
     0.001400     1.884956     6.586060    -0.004620     6.586062
     0.001400     2.042035     7.706275    -0.005405     7.706277
     0.001400     2.199115     9.017026    -0.006325     9.017029
     0.001400     2.356194    10.550721    -0.007401    10.550724
     0.001400     2.513274    12.345281    -0.008659    12.345284
     0.001400     2.670354    14.445075    -0.010132    14.445078
     0.001400     2.827433    16.902020    -0.011853    16.902024
     0.001400     2.984513    19.776635    -0.013879    19.776640
     0.001400     3.141593    23.140670    -0.032397    23.140693

     0.002800     0.000000     0.999996    -0.002800     1.000000
     0.002800     0.157080     1.170048    -0.001643     1.170049
     0.002800     0.314159     1.369106    -0.001920     1.369108
     0.002800     0.471239     1.601976    -0.002247     1.601978
     0.002800     0.628319     1.874454    -0.002630     1.874456
     0.002800     0.785398     2.193278    -0.003077     2.193280
     0.002800     0.942478     2.566330    -0.003600     2.566332
     0.002800     1.099557     3.002834    -0.004213     3.002837
     0.002800     1.256637     3.513582    -0.004929     3.513586
     0.002800     1.413717     4.111203    -0.005768     4.111207
     0.002800     1.570796     4.810473    -0.006749     4.810477
     0.002800     1.727876     5.628680    -0.007896     5.628686
     0.002800     1.884956     6.586055    -0.009239     6.586062
     0.002800     2.042035     7.706270    -0.010811     7.706277
     0.002800     2.199115     9.017020    -0.012650     9.017029
     0.002800     2.356194    10.550714    -0.014801    10.550724
     0.002800     2.513274    12.345272    -0.017319    12.345284
     0.002800     2.670354    14.445064    -0.020265    14.445079
     0.002800     2.827433    16.902006    -0.023692    16.902023
     0.002800     2.984513    19.775934    -0.027782    19.775954
     0.002800     3.141593    23.140602    -0.064794    23.140693

     0.004200     0.000000     0.999991    -0.004200     1.000000
     0.004200     0.157080     1.169997    -0.002467     1.170000
     0.004200     0.314159     1.369104    -0.002878     1.369108
     0.004200     0.471239     1.601974    -0.003371     1.601978
     0.004200     0.628319     1.874452    -0.003944     1.874456
     0.004200     0.785398     2.193275    -0.004615     2.193280
     0.004200     0.942478     2.566327    -0.005400     2.566332
     0.004200     1.099557     3.002830    -0.006319     3.002837
     0.004200     1.256637     3.513578    -0.007394     3.513586
     0.004200     1.413717     4.111198    -0.008651     4.111207
     0.004200     1.570796     4.810467    -0.010123     4.810477
     0.004200     1.727876     5.628673    -0.011845     5.628686
     0.004200     1.884956     6.586047    -0.013859     6.586062
     0.004200     2.042035     7.706260    -0.016216     7.706277
     0.004200     2.199115     9.017009    -0.018975     9.017029
     0.004200     2.356194    10.550701    -0.022202    10.550724
     0.004200     2.513274    12.345257    -0.025978    12.345284
     0.004200     2.670354    14.445048    -0.030397    14.445080
     0.004200     2.827433    16.901981    -0.035506    16.902018
     0.004200     2.984513    19.774769    -0.041735    19.774813
     0.004200     3.141593    23.140489    -0.097191    23.140693

     0.005600     0.000000     0.999984    -0.005600     1.000000
     0.005600     0.157080     1.169927    -0.003295     1.169931
     0.005600     0.314159     1.369102    -0.003835     1.369107
     0.005600     0.471239     1.601972    -0.004495     1.601978
     0.005600     0.628319     1.874449    -0.005259     1.874456
     0.005600     0.785398     2.193271    -0.006154     2.193280
     0.005600     0.942478     2.566322    -0.007201     2.566332
     0.005600     1.099557     3.002825    -0.008425     3.002837
     0.005600     1.256637     3.513572    -0.009858     3.513586
     0.005600     1.413717     4.111191    -0.011535     4.111207
     0.005600     1.570796     4.810458    -0.013497     4.810477
     0.005600     1.727876     5.628663    -0.015793     5.628686
     0.005600     1.884956     6.586036    -0.018479     6.586062
     0.005600     2.042035     7.706247    -0.021622     7.706277
     0.005600     2.199115     9.016993    -0.025300     9.017029
     0.005600     2.356194    10.550683    -0.029603    10.550724
     0.005600     2.513274    12.345235    -0.034638    12.345284
     0.005600     2.670354    14.445026    -0.040529    14.445083
     0.005600     2.827433    16.901940    -0.047281    16.902007
     0.005600     2.984513    19.773144    -0.055763    19.773222
     0.005600     3.141593    23.140330    -0.129587    23.140693

     0.007000     0.000000     0.999976    -0.007000     1.000000
     0.007000     0.157080     1.169836    -0.004127     1.169843
     0.007000     0.314159     1.369098    -0.004790     1.369106
     0.007000     0.471239     1.601968    -0.005618     1.601978
     0.007000     0.628319     1.874445    -0.006574     1.874456
     0.007000     0.785398     2.193267    -0.007692     2.193280
     0.007000     0.942478     2.566317    -0.009001     2.566332
     0.007000     1.099557     3.002818    -0.010532     3.002837
     0.007000     1.256637     3.513564    -0.012323     3.513586
     0.007000     1.413717     4.111182    -0.014419     4.111207
     0.007000     1.570796     4.810448    -0.016871     4.810477
     0.007000     1.727876     5.628651    -0.019741     5.628686
     0.007000     1.884956     6.586021    -0.023099     6.586062
     0.007000     2.042035     7.706230    -0.027027     7.706277
     0.007000     2.199115     9.016973    -0.031624     9.017029
     0.007000     2.356194    10.550659    -0.037003    10.550724
     0.007000     2.513274    12.345208    -0.043298    12.345284
     0.007000     2.670354    14.445000    -0.050660    14.445088
     0.007000     2.827433    16.901880    -0.059007    16.901983
     0.007000     2.984513    19.771065    -0.069889    19.771188
     0.007000     3.141593    23.140126    -0.161984    23.140693

     0.008400     0.000000     0.999965    -0.008400     1.000000
     0.008400     0.157080     1.169726    -0.004964     1.169737
     0.008400     0.314159     1.369092    -0.005742     1.369104
     0.008400     0.471239     1.601964    -0.006742     1.601979
     0.008400     0.628319     1.874439    -0.007889     1.874456
     0.008400     0.785398     2.193261    -0.009231     2.193280
     0.008400     0.942478     2.566310    -0.010801     2.566332
     0.008400     1.099557     3.002810    -0.012638     3.002837
     0.008400     1.256637     3.513555    -0.014787     3.513586
     0.008400     1.413717     4.111171    -0.017303     4.111207
     0.008400     1.570796     4.810435    -0.020246     4.810477
     0.008400     1.727876     5.628636    -0.023689     5.628686
     0.008400     1.884956     6.586004    -0.027718     6.586062
     0.008400     2.042035     7.706209    -0.032433     7.706277
     0.008400     2.199115     9.016949    -0.037949     9.017029
     0.008400     2.356194    10.550631    -0.044404    10.550724
     0.008400     2.513274    12.345175    -0.051957    12.345284
     0.008400     2.670354    14.444971    -0.060789    14.445099
     0.008400     2.827433    16.901793    -0.070670    16.901941
     0.008400     2.984513    19.768540    -0.084138    19.768719
     0.008400     3.141593    23.139876    -0.194380    23.140693

     0.009800     0.000000     0.999952    -0.009800     1.000000
     0.009800     0.157080     1.169597    -0.005807     1.169612
     0.009800     0.314159     1.369085    -0.006691     1.369101
     0.009800     0.471239     1.601960    -0.007865     1.601979
     0.009800     0.628319     1.874434    -0.009204     1.874456
     0.009800     0.785398     2.193254    -0.010769     2.193280
     0.009800     0.942478     2.566301    -0.012601     2.566332
     0.009800     1.099557     3.002801    -0.014744     3.002837
     0.009800     1.256637     3.513543    -0.017252     3.513586
     0.009800     1.413717     4.111158    -0.020186     4.111207
     0.009800     1.570796     4.810419    -0.023620     4.810477
     0.009800     1.727876     5.628618    -0.027637     5.628686
     0.009800     1.884956     6.585983    -0.032338     6.586062
     0.009800     2.042035     7.706184    -0.037838     7.706277
     0.009800     2.199115     9.016920    -0.044274     9.017029
     0.009800     2.356194    10.550597    -0.051805    10.550724
     0.009800     2.513274    12.345136    -0.060618    12.345284
     0.009800     2.670354    14.444941    -0.070917    14.445115
     0.009800     2.827433    16.901672    -0.082261    16.901872
     0.009800     2.984513    19.765579    -0.098531    19.765825
     0.009800     3.141593    23.139581    -0.226775    23.140693

     0.011200     0.000000     0.999937    -0.011200     1.000000
     0.011200     0.157080     1.169450    -0.006657     1.169469
     0.011200     0.314159     1.369075    -0.007636     1.369097
     0.011200     0.471239     1.601955    -0.008989     1.601980
     0.011200     0.628319     1.874427    -0.010519     1.874456
     0.011200     0.785398     2.193246    -0.012308     2.193280
     0.011200     0.942478     2.566292    -0.014401     2.566332
     0.011200     1.099557     3.002789    -0.016850     3.002837
     0.011200     1.256637     3.513530    -0.019716     3.513586
     0.011200     1.413717     4.111142    -0.023070     4.111207
     0.011200     1.570796     4.810402    -0.026994     4.810477
     0.011200     1.727876     5.628597    -0.031585     5.628686
     0.011200     1.884956     6.585958    -0.036958     6.586062
