# x real_u imag_u abs_u
-2.00000000 -0.49152502 -0.76499998 0.90929743
-1.99600400 -0.49242000 -0.76639290 0.91095309
-1.99200799 -0.49330712 -0.76777359 0.91259422
-1.98801199 -0.49418637 -0.76914202 0.91422077
-1.98401598 -0.49505772 -0.77049816 0.91583272
-1.98001998 -0.49592117 -0.77184200 0.91743004
-1.97602398 -0.49677670 -0.77317352 0.91901272
-1.97202797 -0.49762430 -0.77449269 0.92058072
-1.96803197 -0.49846395 -0.77579949 0.92213403
-1.96403596 -0.49929564 -0.77709391 0.92367260
-1.96003996 -0.50011936 -0.77837592 0.92519643
-1.95604396 -0.50093509 -0.77964549 0.92670549
-1.95204795 -0.50174282 -0.78090262 0.92819975
-1.94805195 -0.50254254 -0.78214728 0.92967918
-1.94405594 -0.50333424 -0.78337945 0.93114377
-1.94005994 -0.50411790 -0.78459911 0.93259349
-1.93606394 -0.50489351 -0.78580624 0.93402832
-1.93206793 -0.50566106 -0.78700083 0.93544824
-1.92807193 -0.50642053 -0.78818285 0.93685322
-1.92407592 -0.50717192 -0.78935228 0.93824324
-1.92007992 -0.50791521 -0.79050910 0.93961828
-1.91608392 -0.50865039 -0.79165331 0.94097831
-1.91208791 -0.50937744 -0.79278487 0.94232332
-1.90809191 -0.51009636 -0.79390378 0.94365328
-1.90409590 -0.51080714 -0.79501000 0.94496817
-1.90009990 -0.51150976 -0.79610354 0.94626797
-1.89610390 -0.51220421 -0.79718436 0.94755266
-1.89210789 -0.51289048 -0.79825245 0.94882223
-1.88811189 -0.51356857 -0.79930779 0.95007664
-1.88411588 -0.51423845 -0.80035037 0.95131588
-1.88011988 -0.51490012 -0.80138017 0.95253993
-1.87612388 -0.51555357 -0.80239717 0.95374877
-1.87212787 -0.51619879 -0.80340137 0.95494238
-1.86813187 -0.51683576 -0.80439273 0.95612074
-1.86413586 -0.51746448 -0.80537125 0.95728383
-1.86013986 -0.51808494 -0.80633690 0.95843164
-1.85614386 -0.51869713 -0.80728969 0.95956415
-1.85214785 -0.51930103 -0.80822958 0.96068133
