# t            x            u_real       u_imag       u_abs
     0.000000    -3.141593    -1.000000     0.000000     1.000000
     0.000000    -3.015929    -0.992115     0.000000     0.992115
     0.000000    -2.890265    -0.968583     0.000000     0.968583
     0.000000    -2.764602    -0.929776     0.000000     0.929776
     0.000000    -2.638938    -0.876307     0.000000     0.876307
     0.000000    -2.513274    -0.809017     0.000000     0.809017
     0.000000    -2.387610    -0.728969     0.000000     0.728969
     0.000000    -2.261947    -0.637424     0.000000     0.637424
     0.000000    -2.136283    -0.535827     0.000000     0.535827
     0.000000    -2.010619    -0.425779     0.000000     0.425779
     0.000000    -1.884956    -0.309017     0.000000     0.309017
     0.000000    -1.759292    -0.187381     0.000000     0.187381
     0.000000    -1.633628    -0.062791     0.000000     0.062791
     0.000000    -1.507964     0.062791     0.000000     0.062791
     0.000000    -1.382301     0.187381     0.000000     0.187381
     0.000000    -1.256637     0.309017     0.000000     0.309017
     0.000000    -1.130973     0.425779     0.000000     0.425779
     0.000000    -1.005310     0.535827     0.000000     0.535827
     0.000000    -0.879646     0.637424     0.000000     0.637424
     0.000000    -0.753982     0.728969     0.000000     0.728969
     0.000000    -0.628319     0.809017     0.000000     0.809017
     0.000000    -0.502655     0.876307     0.000000     0.876307
     0.000000    -0.376991     0.929776     0.000000     0.929776
     0.000000    -0.251327     0.968583     0.000000     0.968583
     0.000000    -0.125664     0.992115     0.000000     0.992115
     0.000000     0.000000     1.000000     0.000000     1.000000
     0.000000     0.125664     0.992115     0.000000     0.992115
     0.000000     0.251327     0.968583     0.000000     0.968583
     0.000000     0.376991     0.929776     0.000000     0.929776
     0.000000     0.502655     0.876307     0.000000     0.876307
     0.000000     0.628319     0.809017     0.000000     0.809017
     0.000000     0.753982     0.728969     0.000000     0.728969
     0.000000     0.879646     0.637424     0.000000     0.637424
     0.000000     1.005310     0.535827     0.000000     0.535827
     0.000000     1.130973     0.425779     0.000000     0.425779
     0.000000     1.256637     0.309017     0.000000     0.309017
     0.000000     1.382301     0.187381     0.000000     0.187381
     0.000000     1.507964     0.062791     0.000000     0.062791
     0.000000     1.633628    -0.062791     0.000000     0.062791
     0.000000     1.759292    -0.187381     0.000000     0.187381
     0.000000     1.884956    -0.309017     0.000000     0.309017
     0.000000     2.010619    -0.425779     0.000000     0.425779
     0.000000     2.136283    -0.535827     0.000000     0.535827
     0.000000     2.261947    -0.637424     0.000000     0.637424
     0.000000     2.387610    -0.728969     0.000000     0.728969
     0.000000     2.513274    -0.809017     0.000000     0.809017
     0.000000     2.638938    -0.876307     0.000000     0.876307
     0.000000     2.764602    -0.929776     0.000000     0.929776
     0.000000     2.890265    -0.968583     0.000000     0.968583
     0.000000     3.015929    -0.992115     0.000000     0.992115
     0.000000     3.141593    -1.000000     0.000000     1.000000

     0.001100    -3.141593    -0.999999    -0.001100     1.000000
     0.001100    -3.015929    -0.992114    -0.001090     0.992115
     0.001100    -2.890265    -0.968583    -0.001064     0.968583
     0.001100    -2.764602    -0.929776    -0.001021     0.929776
     0.001100    -2.638938    -0.876306    -0.000963     0.876307
     0.001100    -2.513274    -0.809017    -0.000889     0.809017
     0.001100    -2.387610    -0.728968    -0.000801     0.728969
     0.001100    -2.261947    -0.637424    -0.000700     0.637424
     0.001100    -2.136283    -0.535826    -0.000589     0.535827
     0.001100    -2.010619    -0.425779    -0.000468     0.425779
     0.001100    -1.884956    -0.309017    -0.000339     0.309017
     0.001100    -1.759292    -0.187381    -0.000206     0.187381
     0.001100    -1.633628    -0.062790    -0.000069     0.062791
     0.001100    -1.507964     0.062790     0.000069     0.062791
     0.001100    -1.382301     0.187381     0.000206     0.187381
     0.001100    -1.256637     0.309017     0.000339     0.309017
     0.001100    -1.130973     0.425779     0.000468     0.425779
     0.001100    -1.005310     0.535826     0.000589     0.535827
     0.001100    -0.879646     0.637424     0.000700     0.637424
     0.001100    -0.753982     0.728968     0.000801     0.728969
     0.001100    -0.628319     0.809017     0.000889     0.809017
     0.001100    -0.502655     0.876306     0.000963     0.876307
     0.001100    -0.376991     0.929776     0.001021     0.929776
     0.001100    -0.251327     0.968583     0.001064     0.968583
     0.001100    -0.125664     0.992114     0.001090     0.992115
     0.001100     0.000000     0.999999     0.001099     1.000000
     0.001100     0.125664     0.992114     0.001090     0.992115
     0.001100     0.251327     0.968583     0.001064     0.968583
     0.001100     0.376991     0.929776     0.001021     0.929776
     0.001100     0.502655     0.876306     0.000963     0.876307
     0.001100     0.628319     0.809017     0.000889     0.809017
     0.001100     0.753982     0.728968     0.000801     0.728969
     0.001100     0.879646     0.637424     0.000700     0.637424
     0.001100     1.005310     0.535826     0.000589     0.535827
     0.001100     1.130973     0.425779     0.000468     0.425779
     0.001100     1.256637     0.309017     0.000339     0.309017
     0.001100     1.382301     0.187381     0.000206     0.187381
     0.001100     1.507964     0.062790     0.000069     0.062791
     0.001100     1.633628    -0.062790    -0.000069     0.062791
     0.001100     1.759292    -0.187381    -0.000206     0.187381
     0.001100     1.884956    -0.309017    -0.000339     0.309017
     0.001100     2.010619    -0.425779    -0.000468     0.425779
     0.001100     2.136283    -0.535826    -0.000589     0.535827
     0.001100     2.261947    -0.637424    -0.000700     0.637424
     0.001100     2.387610    -0.728968    -0.000801     0.728969
     0.001100     2.513274    -0.809017    -0.000889     0.809017
     0.001100     2.638938    -0.876306    -0.000963     0.876307
     0.001100     2.764602    -0.929776    -0.001021     0.929776
     0.001100     2.890265    -0.968583    -0.001064     0.968583
