# x real_u imag_u abs_u
-2.00000000 -0.49152502 -0.76499998 0.90929743
-1.80952381 -0.52613566 -0.81764933 0.97230096
-1.61904762 -0.54160656 -0.84066529 1.00002790
-1.42857143 -0.53733286 -0.83322790 0.99146122
-1.23809524 -0.51346320 -0.79561942 0.94691854
-1.04761905 -0.47088211 -0.72919868 0.86802113
-0.85714286 -0.41114207 -0.63636747 0.75762877
-0.66666667 -0.33642300 -0.52051072 0.61976758
-0.47619048 -0.24943961 -0.38582276 0.45943370
-0.28571429 -0.15337274 -0.23718918 0.28245691
-0.09523810 -0.05174677 -0.08002002 0.09529392
0.09523810 0.05174677 0.08002002 0.09529392
0.28571429 0.15337274 0.23718918 0.28245691
0.47619048 0.24943961 0.38582276 0.45943370
0.66666667 0.33642300 0.52051072 0.61976758
0.85714286 0.41114207 0.63636747 0.75762877
1.04761905 0.47088211 0.72919868 0.86802113
1.23809524 0.51346320 0.79561942 0.94691854
1.42857143 0.53733286 0.83322790 0.99146122
1.61904762 0.54160656 0.84066529 1.00002790
1.80952381 0.52613566 0.81764933 0.97230096
2.00000000 0.49152502 0.76499998 0.90929743
