# traste freq1_hz freq2_hz freq3_hz
0 330.331191 330.956819 329.705564
1 350.531976 350.989589 350.074362
2 373.095378 372.421921 373.768836
3 392.842768 392.257309 393.428226
4 415.391748 415.886262 833.256066
5 440.089661 440.449506 439.729817
6 466.049542 466.670114 934.581372
7 497.120862 496.628176 497.613549
8 526.785714 527.310924 526.260504
9 561.470518 560.428829 559.387139
10 594.967071 595.632582 594.301560
11 628.016159 627.142701 628.889617
12 665.044514 665.731543 664.357484
13 703.705461 1409.688286 1410.826968
