# cuerda traste freq1_hz freq2_hz freq3_hz
1 0 330.331191 330.956819 329.705564
1 1 350.531976 350.989589 350.074362
1 2 279.079066 278.679239 557.358478
1 3 392.842768 392.257309 393.428226
1 4 415.391748 415.886262 833.256066
1 5 440.089661 440.449506 439.729817
1 6 466.049542 466.670114 934.581372
2 0 497.409326 248.704663 247.822732
2 1 263.461037 263.942684 262.979390
2 2 279.121796 278.695656 557.817452
2 3 296.088857 295.634733 592.177714
2 4 313.635975 313.978372 313.293577
2 5 331.441854 331.852054 331.031654
2 6 352.001126 352.564328 351.437925
3 0 196.415270 195.962701 196.867840
3 1 417.289492 208.410577 417.757830
3 2 222.482879 221.574785 223.390972
3 3 235.456110 234.865995 236.046226
3 4 249.214973 249.613717 248.816229
3 5 263.120090 263.483014 262.757166
3 6 280.237785 279.773815 280.701754
4 0 146.440913 146.672257 293.344515
4 1 155.564184 155.315679 155.812689
4 2 165.191564 331.101352 165.550676
4 3 175.226932 174.834047 350.846750
4 4 185.442903 185.784418 185.101387
4 5 195.889812 392.945635 195.598309
4 6 417.009216 417.431718 416.586714
5 0 109.600680 109.964802 109.236558
5 1 117.005184 116.661051 117.349316
5 2 124.112624 124.484219 248.968438
5 3 131.542888 131.898410 131.187367
5 4 139.434964 139.110697 139.759231
5 5 147.378917 147.087078 295.049674
5 6 156.230733 155.886612 156.574853
6 0 165.054970 165.442423 413.412331
6 1 174.816722 174.565548 87.408361
6 2 186.019175 186.313044 93.156522
6 3 196.764485 98.570354 197.140707
6 4 104.587972 104.278540 104.897404
6 5 110.279658 110.591183 109.968134
6 6 117.672244 117.340773 118.003715
