kg;y
0.13;0.003117
0.1458;0.003972
0.1648;0.00404
0.1722;0.004119
0.1848;0.004345
0.1944;0.004624
0.2062;0.004802
0.2253;0.005137
0.2396;0.005243
0.2495;0.00564
0.2588;0.00604
0.2705;0.006275
0.28;0.006437
0.29;0.006695
0.3014;0.006975
0.3145;0.00708
0.324;0.00738
0.3341;0.007638
0.3447;0.007772
0.3569;0.007987
0.3677;0.008213
0.3775;0.0085
0.3886;0.008889
0.4036;0.009225
0.4141;0.00936
0.428;0.009837
0.4472;0.01008
0.4592;0.01046
0.4701;0.01079
0.4813;0.01093
0.4919;0.0118
0.501;0.01139
