Cuerda;Traste/angulo;Frecuencia;Tensión;Densidad;Longitud
1;0;330,331191;71,75;0,0003990;65
1;1;350,531976;71,75;0,0003990;63,2
1;2;279,079066;71,75;0,0003990;59,7
1;3;392,842768;71,75;0,0003990;56,35
1;4;415,391748;71,75;0,0003990;53,2
1;5;440,089661;71,75;0,0003990;50,25
1;6;466,049542;71,75;0,0003990;47,4
2;0;248,704663;49,55;0,0004770;65
2;1;263,461037;49,55;0,0004770;63,2
2;2;279,121796;49,55;0,0004770;59,7
2;3;296,088857;49,55;0,0004770;56,35
2;4;313,635975;49,55;0,0004770;53,2
2;5;331,441854;49,55;0,0004770;50,25
2;6;352,001126;49,55;0,0004770;47,4
3;0;196,415270;51,28;0,0010300;65
3;1;208,410577;51,28;0,0010300;63,2
3;2;222,482879;51,28;0,0010300;59,7
3;3;235,456110;51,28;0,0010300;56,35
3;4;249,214973;51,28;0,0010300;53,2
3;5;263,120090;51,28;0,0010300;50,25
3;6;280,237785;51,28;0,0010300;47,4
4;0;146,440913;65,65;0,0016200;65
4;1;155,564184;65,65;0,0016200;63,2
4;2;165,191564;65,65;0,0016200;59,7
4;3;175,226932;65,65;0,0016200;56,35
4;4;185,442903;65,65;0,0016200;53,2
4;5;195,889812;65,65;0,0016200;50,25
4;6;200,000000;65,65;0,0016200;47,4
5;0;109,600680;67;0,0035000;65
5;1;117,005184;67;0,0035000;63,2
5;2;124,112624;67;0,0035000;59,7
5;3;131,542888;67;0,0035000;56,35
5;4;139,434964;67;0,0035000;53,2
5;5;147,378917;67;0,0035000;50,25
5;6;156,230733;67;0,0035000;47,4
6;0;165,054970;62,2;0,0057800;65
6;1;174,816722;62,2;0,0057800;63,2
6;2;186,019175;62,2;0,0057800;59,7
6;3;196,764485;62,2;0,0057800;56,35
6;4;207,940000;62,2;0,0057800;53,2
6;5;222,120000;62,2;0,0057800;50,25
6;6;235,010000;62,2;0,0057800;47,4
1;-180;318,019467;58,64;0,0003990;65
1;-90;323,942989;61,32;0,0003990;65
1;0;330,331191;71,75;0,0003990;65
1;90;335,195531;74,54;0,0003990;65
1;180;341,672623;78,39;0,0003990;65
2;-180;238,509317;45,73;0,0004770;65
2;-90;"244,310392	";47,23;0,0004770;65
2;0;248,704663;49,55;0,0004770;65
2;90;253,200000;55,26;0,0004770;65
2;180;258,767320;56,63;0,0004770;65
3;-180;188,36488;46,72;0,0010300;65
3;-90;191,37677;49,29;0,0010300;65
3;0;196,41527;51,28;0,0010300;65
3;90;201,74151;56,3;0,0010300;65
3;180;207,72000;59,8;0,0010300;65
4;-180;142,731891;56,7;0,0016200;65
4;-90;144,433601;59,04;0,0016200;65
4;0;146,440913;65,65;0,0016200;65
4;90;149,320767;70,03;0,0016200;65
4;180;151,619363;70,83;0,0016200;65
5;-180;106,506946;58,12;0,0035000;65
5;-90;108,474576;59,33;0,0035000;65
5;0;109,600680;67;0,0035000;65
5;90;111,512802;70,68;0,0035000;65
5;180;112,836404;72,1;0,0035000;65
6;-180;161,49716;54,89;0,0057800;65
6;-90;164,02734;58,06;0,0057800;65
6;0;165,05497;62,2;0,0057800;65
6;90;171,24693;66,83;0,0057800;65
6;180;167,90232;72,23;0,0057800;65
