m;y
0.21309;0.005982
0.2546;0.006913
0.3413;0.007314
0.3521;0.009091
0.13;0.003974
0.1241;0.004219
0.1523;0.004751
0.1633;0.005113
0.1742;0.004354
0.185;0.004823
0.2093;0.00548
0.2188;0.0058
0.242;0.00644
0.2655;0.006584
0.2818;0.006862
0.2982;0.008237
0.3221;0.007428
0.3338;0.00771
0.3464;0.008352
0.3569;0.00851
0.3718;0.009012
0.3841;0.01083
0.3941;0.01136
0.4037;0.01192
0.4136;0.01521
0.4255;0.0166
0.4355;0.0147
0.4448;0.01503
0.4565;0.01499
0.4726;0.01452
0.49;0.01492
0.5033;0.014
