medicion,masa_kg,y_m,theta_grados,F_N,T_N,deltaL_mm
1,0.130000,0.003117,0.549494,1.275300,66.488861,0.029894
2,0.145800,0.003972,0.700208,1.430298,58.519834,0.048542
3,0.164800,0.004040,0.712194,1.616688,65.032697,0.050218
4,0.172200,0.004119,0.726119,1.689282,66.649762,0.052201
5,0.184800,0.004345,0.765955,1.812888,67.806818,0.058087
6,0.194400,0.004624,0.815132,1.907064,67.026225,0.065786
7,0.206200,0.004802,0.846506,2.022822,68.459903,0.070948
8,0.225300,0.005137,0.905550,2.210193,69.924319,0.081191
9,0.239600,0.005243,0.924233,2.350476,72.859441,0.084576
10,0.249500,0.005640,0.994202,2.447595,70.530864,0.097868
11,0.258800,0.006040,1.064697,2.538828,68.316356,0.112241
12,0.270500,0.006275,1.106112,2.653605,68.731662,0.121144
13,0.280000,0.006437,1.134661,2.746800,69.355684,0.127480
14,0.290000,0.006695,1.180126,2.844900,69.065621,0.137902
15,0.301400,0.006975,1.229467,2.956734,68.900346,0.149677
16,0.314500,0.007080,1.247969,3.085245,70.829274,0.154217
17,0.324000,0.007380,1.300831,3.178440,70.004017,0.167561
18,0.334100,0.007638,1.346291,3.277521,69.749178,0.179480
19,0.344700,0.007772,1.369901,3.381507,70.722077,0.185832
20,0.356900,0.007987,1.407782,3.501189,71.255164,0.196254
21,0.367700,0.008213,1.447600,3.607137,71.392536,0.207516
22,0.377500,0.008500,1.498163,3.703275,70.822114,0.222270
23,0.388600,0.008889,1.566693,3.812166,69.716350,0.243076
24,0.403600,0.009225,1.625882,3.959316,69.772139,0.261795
25,0.414100,0.009360,1.649662,4.062321,70.555649,0.269512
26,0.428000,0.009837,1.733682,4.198680,69.390867,0.297675
27,0.447200,0.010080,1.776481,4.387032,70.757490,0.312560
28,0.459200,0.010460,1.843406,4.504752,70.019238,0.336564
29,0.470100,0.010790,1.901521,4.611681,69.491294,0.358129
30,0.481300,0.010930,1.926175,4.721553,70.236609,0.367480
31,0.491900,0.011800,2.079364,4.825539,66.497184,0.428290
32,0.501000,0.011390,2.007175,4.914810,70.162155,0.399053
