cuerda,angulo_clavija,masa_kg,y_cm,theta_grados,T_N,deltaL_mm
1,−900°,0.151500,0.496900,0.875940,48.609009,0.075968
1,−720°,0.151500,0.497900,0.877703,48.511403,0.076274
1,−630°,0.151500,0.495400,0.873296,48.756155,0.075510
1,−540°,0.151500,0.467000,0.823240,51.720529,0.067101
1,−450°,0.151500,0.445200,0.784815,54.252605,0.060983
1,−360°,0.151500,0.434800,0.766484,55.550034,0.058167
1,−270°,0.151500,0.426800,0.752383,56.591088,0.056046
1,−180°,0.151500,0.411900,0.726119,58.637857,0.052201
1,−90°,0.151500,0.393900,0.694391,61.317003,0.047739
1,0°,0.151500,0.336600,0.593387,71.753681,0.034860
1,+90°,0.151500,0.324000,0.571176,74.543808,0.032300
1,+180°,0.151500,0.308100,0.543148,78.390389,0.029207
2,−900°,0.151500,0.641000,1.129903,37.684385,0.126413
2,−720°,0.151500,0.624000,1.099944,38.710649,0.119797
2,−630°,0.151500,0.632000,1.114042,38.220822,0.122888
2,−540°,0.151500,0.615000,1.084083,39.276939,0.116367
2,−450°,0.151500,0.570800,1.006187,42.317306,0.100242
2,−360°,0.151500,0.550900,0.971115,43.845459,0.093375
2,−270°,0.151500,0.533000,0.939567,45.317526,0.087406
2,−180°,0.151500,0.528200,0.931107,45.729237,0.085839
2,−90°,0.151500,0.511400,0.901497,47.231098,0.080466
2,0°,0.151500,0.487500,0.859372,49.546073,0.073121
2,+90°,0.151500,0.437100,0.770538,55.257785,0.058784
2,+180°,0.151500,0.426500,0.751854,56.630887,0.055968
3,−900°,0.151500,0.698700,1.231581,34.573600,0.150192
3,−720°,0.151500,0.683200,1.204268,35.357625,0.143603
3,−630°,0.151500,0.680600,1.199686,35.492637,0.142512
3,−540°,0.151500,0.666200,1.174311,36.259482,0.136546
3,−450°,0.151500,0.620600,1.093952,38.922650,0.118495
3,−360°,0.151500,0.572100,1.008478,42.221177,0.100699
3,−270°,0.151500,0.560900,0.988739,43.063987,0.096796
3,−180°,0.151500,0.517000,0.911367,46.719631,0.082238
3,−90°,0.151500,0.490000,0.863779,49.293344,0.073873
3,0°,0.151500,0.471000,0.830290,51.281380,0.068255
3,+90°,0.151500,0.429000,0.756260,56.300927,0.056626
3,+180°,0.151500,0.403900,0.712018,59.799105,0.050194
4,−900°,0.151500,0.461300,0.813193,52.359476,0.065473
4,−720°,0.151500,0.463400,0.816894,52.122246,0.066070
4,−630°,0.151500,0.471800,0.831700,51.194443,0.068487
4,−540°,0.151500,0.447100,0.788164,54.022096,0.061504
4,−450°,0.151500,0.470600,0.829585,51.324959,0.068139
4,−360°,0.151500,0.447600,0.789045,53.961761,0.061642
4,−270°,0.151500,0.433700,0.764545,55.690902,0.057873
4,−180°,0.151500,0.426000,0.750972,56.697344,0.055836
4,−90°,0.151500,0.409100,0.721184,59.039127,0.051494
4,0°,0.151500,0.367900,0.648561,65.649745,0.041645
4,+90°,0.151500,0.344900,0.608018,70.027120,0.036601
4,+180°,0.151500,0.341000,0.601143,70.827927,0.035778
5,−900°,0.151500,0.511000,0.900792,47.268060,0.080340
5,−720°,0.151500,0.493600,0.870124,48.933912,0.074962
5,−630°,0.151500,0.492400,0.868009,49.053139,0.074598
5,−540°,0.151500,0.493800,0.870476,48.914097,0.075023
5,−450°,0.151500,0.486400,0.857433,49.658097,0.072791
5,−360°,0.151500,0.459800,0.810549,52.530254,0.065048
5,−270°,0.151500,0.435400,0.767541,55.473498,0.058328
5,−180°,0.151500,0.415600,0.732641,58.115901,0.053143
5,−90°,0.151500,0.407100,0.717658,59.329129,0.050992
5,0°,0.151500,0.360500,0.635516,66.997169,0.039987
5,+90°,0.151500,0.341700,0.602377,70.682846,0.035925
5,+180°,0.151500,0.335000,0.590566,72.096348,0.034530
6,−900°,0.151500,0.564400,0.994907,42.797015,0.098007
6,−720°,0.151500,0.532900,0.939390,45.326028,0.087373
6,−630°,0.151500,0.561200,0.989268,43.040973,0.096899
6,−540°,0.151500,0.524400,0.924409,46.060521,0.084608
6,−450°,0.151500,0.501500,0.884048,48.163248,0.077381
6,−360°,0.151500,0.482300,0.850207,50.080143,0.071569
6,−270°,0.151500,0.459200,0.809491,52.598877,0.064878
6,−180°,0.151500,0.440000,0.775649,54.893652,0.059567
6,−90°,0.151500,0.416000,0.733346,58.060029,0.053246
6,0°,0.151500,0.388300,0.684520,62.201178,0.046391
6,+90°,0.151500,0.361400,0.637103,66.830346,0.040186
6,+180°,0.151500,0.334400,0.589509,72.225694,0.034406
