f_Hz,T_N,mu_kgm,L_m,f_teorica,f_pysr,error_pct,err_pysr_pct
330.331191,71.750000,0.000399,0.006500,32619.789380,305.384132,9774.874147,7.552136
350.531976,71.750000,0.000399,0.006320,33548.834014,315.049551,9470.834135,10.122450
373.100000,71.750000,0.000399,0.005970,35515.683580,335.511890,9419.078955,10.074540
392.842768,71.750000,0.000399,0.005635,37627.086241,357.478103,9478.154240,9.002244
415.391748,71.750000,0.000399,0.005320,39855.005821,380.656513,9494.558874,8.362043
440.089661,71.750000,0.000399,0.005025,42194.752432,404.998328,9487.762715,7.973678
466.049542,71.750000,0.000399,0.004740,44731.778686,431.392563,9498.073736,7.436329
497.120900,71.750000,0.000399,0.004470,47433.698204,459.502284,9441.682557,7.567297
526.785700,71.750000,0.000399,0.004220,50243.751415,488.736986,9437.797137,7.222807
561.470500,71.750000,0.000399,0.003985,53206.682803,519.562173,9376.309584,7.464030
594.967100,71.750000,0.000399,0.003760,56390.593343,552.686342,9377.934720,7.106403
628.016200,71.750000,0.000399,0.003550,59726.374921,587.390517,9410.323925,6.468891
665.044500,71.750000,0.000399,0.003355,63197.803568,623.505912,9402.793207,6.245986
703.705500,71.750000,0.000399,0.003125,67849.161910,671.896838,9541.698397,4.520167
248.704663,49.550000,0.000477,0.006500,24792.440954,264.270509,9868.627309,6.258767
263.461037,49.550000,0.000477,0.006320,25498.554779,273.397249,9578.301987,3.771416
279.121796,49.550000,0.000477,0.005970,26993.444925,292.719169,9570.848107,4.871484
296.088857,49.550000,0.000477,0.005635,28598.201633,313.461147,9558.655149,5.867256
313.635975,49.550000,0.000477,0.005320,30291.516203,335.347763,9558.176554,6.922608
331.441854,49.550000,0.000477,0.005025,32069.824119,358.332945,9575.852260,8.113366
352.001126,49.550000,0.000477,0.004740,33998.073038,383.256161,9558.512580,8.879243
376.197500,49.550000,0.000477,0.004470,36051.647920,409.799254,9483.170521,8.931945
398.780500,49.550000,0.000477,0.004220,38187.409052,437.404629,9476.047237,9.685561
