     Tiempo (s)   Velocidad_real (m/s)   Velocidad_ruido (m/s)
        0.00000             0.00000000              0.99342831
        0.10000             0.98100000              0.70447140
        0.20000             1.94667188              3.24204895
        0.30000             2.89725513              5.94331484
        0.40000             3.83298552              3.36467877
        0.50000             4.75409512              4.28582120
        0.60000             5.66081238              8.81923801
        0.70000             6.55336219              8.08823165
        0.80000             7.43196590              6.49301713
        0.90000             8.29684144              9.38196152
        1.00000             9.14820329              8.22136790
        1.10000             9.98626261              9.05480310
        1.20000            10.81122726             11.29515180
        1.30000            11.62330183              7.79674134
        1.40000            12.42268774              8.97285208
        1.50000            13.20958325             12.08500819
        1.60000            13.98418351             11.95852127
        1.70000            14.74668064             15.37517531
        1.80000            15.49726376             13.68121560
        1.90000            16.23611901             13.41151161
        2.00000            16.96342965             19.89472719
        2.10000            17.67937606             17.22782346
        2.20000            18.38413581             18.51919222
        2.30000            19.07788369             16.22838732
        2.40000            19.76079176             18.67202631
        2.50000            20.43302938             20.65487456
        2.60000            21.09476330             18.79277615
        2.70000            21.74615762             22.49755366
        2.80000            22.38737391             21.18609653
        2.90000            23.01857119             22.43518369
        3.00000            23.63990602             22.43649279
        3.10000            24.25153249             27.95608886
        3.20000            24.85360229             24.82660784
        3.30000            25.44626476             23.33084290
        3.40000            26.02966687             27.67475669
        3.50000            26.60395332             24.16226602
        3.60000            27.16926655             27.58699374
        3.70000            27.72574676             23.80640652
        3.80000            28.27353197             25.61715987
        3.90000            28.81275803             29.20648051
        4.00000            29.34355869             30.82049185
        4.10000            29.86606558             30.20880215
        4.20000            30.38040831             30.14911175
        4.30000            30.88671443             30.28450704
        4.40000            31.38510952             28.42806554
        4.50000            31.87571718             30.43602876
        4.60000            32.35865910             31.43738156
        4.70000            32.83405505             34.94829950
        4.80000            33.30202294             33.98925952
        4.90000            33.76267883             30.23659852
        5.00000            34.21613698             34.86430492
        5.10000            34.66250984             33.89234528
        5.20000            35.10190812             33.74806412
        5.30000            35.53444081             36.75779338
        5.40000            35.96021517             38.02221421
        5.50000            36.37933681             38.24189704
        5.60000            36.79190967             35.11347462
        5.70000            37.19803608             36.57961133
        5.80000            37.59781677             38.26034363
        5.90000            37.99135088             39.94244113
        6.00000            38.37873602             37.42038755
        6.10000            38.76006827             38.38875032
        6.20000            39.13544220             36.92277226
        6.30000            39.50495092             37.11253767
        6.40000            39.86868606             41.49373771
        6.50000            40.22673784             42.93921790
        6.60000            40.57919506             40.43517482
        6.70000            40.92614514             42.93321094
        6.80000            41.26767412             41.99094617
        6.90000            41.60386671             40.31362721
        7.00000            41.93480630             42.65759751
        7.10000            42.26057495             45.33664808
        7.20000            42.58125347             42.50960139
        7.30000            42.89692138             46.02620869
        7.40000            43.20765698             37.96816678
        7.50000            43.51353734             45.15734235
        7.60000            43.81463832             43.98873246
        7.70000            44.11103460             43.51301990
        7.80000            44.40279968             44.58632124
        7.90000            44.69000594             40.71486811
        8.00000            44.97272459             44.53338082
        8.10000            45.25102577             45.96525092
        8.20000            45.52497850             48.48076658
        8.30000            45.79465071             44.75811027
        8.40000            46.06010929             44.44312208
        8.50000            46.32142008             45.31790599
        8.60000            46.57864789             48.40945213
        8.70000            46.83185652             47.48935874
