         t        T1        T2        T3        T4        T5        T6        T7        T8        T9       T10  T_frontera
    0.0000    0.0000  100.0000  100.0000  100.0000  100.0000  100.0000  100.0000  100.0000  100.0000  100.0000    100.0000
    0.0500    0.0000   83.2160   98.5915   99.8818   99.9901   99.9992   99.9999  100.0000  100.0000  100.0000    100.0000
    0.1000    0.0000   71.6298   95.2383   99.4006   99.9329   99.9930   99.9993   99.9999  100.0000  100.0000    100.0000
    0.1500    0.0000   63.2916   91.2230   98.4477   99.7729   99.9704   99.9964   99.9996  100.0000  100.0000    100.0000
    0.2000    0.0000   57.0580   87.1400   97.0988   99.4680   99.9157   99.9880   99.9984   99.9998  100.0000    100.0000
    0.2500    0.0000   52.2377   83.2488   95.4709   99.0035   99.8129   99.9688   99.9953   99.9993   99.9999    100.0000
    0.3000    0.0000   48.3999   79.6475   93.6711   98.3860   99.6495   99.9331   99.9885   99.9982   99.9997    100.0000
    0.3500    0.0000   45.2671   76.3584   91.7829   97.6342   99.4187   99.8748   99.9758   99.9957   99.9993    100.0001
    0.4000    0.0000   42.6554   73.3699   89.8664   96.7717   99.1182   99.7888   99.9547   99.9912   99.9984    100.0002
    0.4500    0.0000   40.4392   70.6569   87.9627   95.8226   98.7500   99.6713   99.9227   99.9835   99.9968    100.0004
    0.5000    0.0000   38.5301   68.1905   86.0984   94.8092   98.3186   99.5199   99.8773   99.9716   99.9940    100.0007
    0.5500    0.0000   36.8644   65.9422   84.2900   93.7509   97.8302   99.3335   99.8165   99.9542   99.9896    100.0009
    0.6000    0.0000   35.3953   63.8862   82.5469   92.6638   97.2918   99.1121   99.7385   99.9301   99.9829    100.0012
    0.6500    0.0000   34.0874   61.9994   80.8738   91.5612   96.7107   98.8567   99.6421   99.8981   99.9736    100.0012
    0.7000    0.0000   32.9133   60.2619   79.2722   90.4533   96.0938   98.5689   99.5265   99.8573   99.9608    100.0010
    0.7500    0.0000   31.8521   58.6562   77.7415   89.3485   95.4477   98.2508   99.3913   99.8067   99.9439    100.0002
    0.8000    0.0000   30.8867   57.1674   76.2797   88.2529   94.7782   97.9050   99.2365   99.7457   99.9225     99.9985
    0.8500    0.0000   30.0036   55.7828   74.8844   87.1714   94.0907   97.5340   99.0626   99.6736   99.8958     99.9957
    0.9000    0.0000   29.1919   54.4912   73.5523   86.1074   93.3899   97.1404   98.8699   99.5900   99.8633     99.9913
    0.9500    0.0000   28.4425   53.2831   72.2803   85.0634   92.6798   96.7269   98.6593   99.4948   99.8246     99.9850
    1.0000    0.0000   27.7477   52.1500   71.0650   84.0414   91.9638   96.2958   98.4316   99.3877   99.7793     99.9763
    1.0500    0.0000   27.1014   51.0848   69.9032   83.0423   91.2450   95.8495   98.1879   99.2690   99.7269     99.9647
    1.1000    0.0000   26.4981   50.0811   68.7917   82.0670   90.5257   95.3903   97.9292   99.1386   99.6673     99.9499
    1.1500    0.0000   25.9332   49.1333   67.7276   81.1158   89.8083   94.9202   97.6566   98.9968   99.6001     99.9314
    1.2000    0.0000   25.4030   48.2365   66.7079   80.1887   89.0943   94.4410   97.3713   98.8440   99.5253     99.9087
    1.2500    0.0000   24.9039   47.3864   65.7300   79.2856   88.3854   93.9544   97.0742   98.6804   99.4426     99.8814
    1.3000    0.0000   24.4331   46.5791   64.7915   78.4062   87.6826   93.4620   96.7664   98.5066   99.3520     99.8492
    1.3500    0.0000   23.9879   45.8113   63.8899   77.5500   86.9870   92.9651   96.4490   98.3228   99.2536     99.8117
    1.4000    0.0000   23.5662   45.0798   63.0231   76.7166   86.2994   92.4649   96.1228   98.1296   99.1472     99.7685
    1.4500    0.0000   23.1659   44.3819   62.1890   75.9054   85.6204   91.9626   95.7889   97.9274   99.0329     99.7194
    1.5000    0.0000   22.7854   43.7151   61.3859   75.1158   84.9505   91.4590   95.4481   97.7167   98.9109     99.6641
