         t        T1        T2        T3        T4        T5        T6        T7        T8        T9       T10  T_frontera
    0.0000    0.0000  100.0000  100.0000  100.0000  100.0000  100.0000  100.0000  100.0000  100.0000  100.0000    100.0000
    0.0500    0.0000   80.0000  100.0000  100.0000  100.0000  100.0000  100.0000  100.0000  100.0000  100.0000    100.0000
    0.1000    0.0000   68.0000   96.0000  100.0000  100.0000  100.0000  100.0000  100.0000  100.0000  100.0000    100.0000
    0.1500    0.0000   60.0000   91.2000   99.2000  100.0000  100.0000  100.0000  100.0000  100.0000  100.0000    100.0000
    0.2000    0.0000   54.2400   86.5600   97.7600   99.8400  100.0000  100.0000  100.0000  100.0000  100.0000    100.0000
    0.2500    0.0000   49.8560   82.3360   95.9360   99.4560   99.9680  100.0000  100.0000  100.0000  100.0000    100.0000
    0.3000    0.0000   46.3808   78.5600   93.9200   98.8544   99.8720   99.9936  100.0000  100.0000  100.0000    100.0000
    0.3500    0.0000   43.5405   75.1962   91.8349   98.0710   99.6928   99.9706   99.9987  100.0000  100.0000    100.0000
    0.4000    0.0000   41.1635   72.1928   89.7544   97.1482   99.4240   99.9206   99.9933   99.9997  100.0000    100.0000
    0.4500    0.0000   39.1367   69.4992   87.7208   96.1246   99.0682   99.8359   99.9801   99.9985   99.9999    100.0000
    0.5000    0.0000   37.3818   67.0710   85.7572   95.0325   98.6330   99.7112   99.9549   99.9951   99.9997    100.0001
    0.5500    0.0000   35.8433   64.8704   83.8751   93.8976   98.1285   99.5443   99.9142   99.9880   99.9988    100.0003
    0.6000    0.0000   34.4801   62.8659   82.0786   92.7393   97.5655   99.3351   99.8550   99.9754   99.9969    100.0008
    0.6500    0.0000   33.2612   61.0313   80.3682   91.5724   96.9542   99.0852   99.7751   99.9556   99.9932    100.0015
    0.7000    0.0000   32.1630   59.3447   78.7417   90.4079   96.3040   98.7969   99.6732   99.9270   99.9869    100.0025
    0.7500    0.0000   31.1667   57.7877   77.1955   89.2539   95.6234   98.4736   99.5487   99.8882   99.9773    100.0036
    0.8000    0.0000   30.2576   56.3451   75.7256   88.1161   94.9195   98.1186   99.4016   99.8381   99.9634    100.0047
    0.8500    0.0000   29.4236   55.0037   74.3276   86.9987   94.1987   97.7354   99.2323   99.7759   99.9446    100.0055
    0.9000    0.0000   28.6549   53.7525   72.9971   85.9045   93.4660   97.3274   99.0416   99.7009   99.9200    100.0056
    0.9500    0.0000   27.9434   52.5819   71.7296   84.8353   92.7260   96.8980   98.8306   99.6129   99.8890    100.0045
    1.0000    0.0000   27.2824   51.4837   70.5212   83.7923   91.9822   96.4501   98.6006   99.5116   99.8511    100.0017
    1.0500    0.0000   26.6662   50.4510   69.3679   82.7761   91.2378   95.9866   98.3527   99.3973   99.8058     99.9967
    1.1000    0.0000   26.0899   49.4774   68.2662   81.7868   90.4952   95.5101   98.0884   99.2701   99.7527     99.9890
    1.1500    0.0000   25.5494   48.5577   67.2125   80.8244   89.7565   95.0228   97.8091   99.1303   99.6916     99.9778
    1.2000    0.0000   25.0412   47.6870   66.2039   79.8884   89.0233   94.5268   97.5161   98.9783   99.6223     99.9628
    1.2500    0.0000   24.5621   46.8612   65.2374   78.9785   88.2970   94.0239   97.2106   98.8147   99.5446     99.9433
    1.3000    0.0000   24.1095   46.0766   64.3104   78.0940   87.5787   93.5159   96.8941   98.6398   99.4584     99.9189
    1.3500    0.0000   23.6810   45.3300   63.4204   77.2342   86.8692   93.0041   96.5676   98.4544   99.3638     99.8890
    1.4000    0.0000   23.2746   44.6183   62.5651   76.3984   86.1692   92.4898   96.2323   98.2589   99.2607     99.8533
    1.4500    0.0000   22.8884   43.9389   61.7424   75.5859   85.4792   91.9742   95.8891   98.0539   99.1492     99.8115
    1.5000    0.0000   22.5208   43.2895   60.9504   74.7959   84.7995   91.4582   95.5391   97.8400   99.0295     99.7631
    1.5500    0.0000   22.1704   42.6679   60.1873   74.0275   84.1305   90.9426   95.1831   97.6177   98.9016     99.7079
    1.6000    0.0000   21.8358   42.0723   59.4515   73.2801   83.4723   90.4283   94.8219   97.3876   98.7658     99.6457
    1.6500    0.0000   21.5160   41.5008   58.7414   72.5528   82.8251   89.9158   94.4563   97.1501   98.6221     99.5762
    1.7000    0.0000   21.2097   40.9520   58.0555   71.8450   82.1888   89.4058   94.0870   96.9058   98.4708     99.4995
    1.7500    0.0000   20.9162   40.4242   57.3927   71.1558   81.5634   88.8986   93.7145   96.6550   98.3121     99.4152
    1.8000    0.0000   20.6346   39.9163   56.7516   70.4847   80.9489   88.3948   93.3394   96.3983   98.1462     99.3235
    1.8500    0.0000   20.3640   39.4270   56.1312   69.8310   80.3453   87.8945   92.9623   96.1361   97.9732     99.2241
    1.9000    0.0000   20.1038   38.9553   55.5303   69.1939   79.7523   87.3982   92.5835   95.8688   97.7934     99.1173
    1.9500    0.0000   19.8533   38.5000   54.9480   68.5728   79.1698   86.9061   92.2035   95.5966   97.6071     99.0029
    2.0000    0.0000   19.6120   38.0603   54.3834   67.9673   78.5976   86.4183   91.8226   95.3201   97.4143     98.8810
    2.0500    0.0000   19.3793   37.6352   53.8355   67.3766   78.0357   85.9350   91.4413   95.0395   97.2155     98.7517
    2.1000    0.0000   19.1546   37.2241   53.3037   66.8002   77.4837   85.4564   91.0597   94.7550   97.0107     98.6152
