     Tiempo (s)           Altura (m)      Velocidad (m/s)
        0.00000        4000.00000000           0.00000000
        0.10000        4000.00000000           0.98100000
        0.20000        3999.90190000           1.94667188
        0.30000        3999.70723281           2.89725513
        0.40000        3999.41750730           3.83298552
        0.50000        3999.03420875           4.75409512
        0.60000        3998.55879924           5.66081238
        0.70000        3997.99271800           6.55336219
        0.80000        3997.33738178           7.43196590
        0.90000        3996.59418519           8.29684144
        1.00000        3995.76450105           9.14820329
        1.10000        3994.84968072           9.98626261
        1.20000        3993.85105446          10.81122726
        1.30000        3992.76993173          11.62330183
        1.40000        3991.60760155          12.42268774
        1.50000        3990.36533277          13.20958325
        1.60000        3989.04437445          13.98418351
        1.70000        3987.64595610          14.74668064
        1.80000        3986.17128803          15.49726376
        1.90000        3984.62156166          16.23611901
        2.00000        3982.99794976          16.96342965
        2.10000        3981.30160679          17.67937606
        2.20000        3979.53366919          18.38413581
        2.30000        3977.69525560          19.07788369
        2.40000        3975.78746724          19.76079176
        2.50000        3973.81138806          20.43302938
        2.60000        3971.76808512          21.09476330
        2.70000        3969.65860879          21.74615762
        2.80000        3967.48399303          22.38737391
        2.90000        3965.24525564          23.01857119
        3.00000        3962.94339852          23.63990602
        3.10000        3960.57940792          24.25153249
        3.20000        3958.15425467          24.85360229
        3.30000        3955.66889444          25.44626476
        3.40000        3953.12426796          26.02966687
        3.50000        3950.52130128          26.60395332
        3.60000        3947.86090594          27.16926655
        3.70000        3945.14397929          27.72574676
        3.80000        3942.37140461          28.27353197
        3.90000        3939.54405142          28.81275803
        4.00000        3936.66277561          29.34355869
        4.10000        3933.72841974          29.86606558
        4.20000        3930.74181318          30.38040831
        4.30000        3927.70377235          30.88671443
        4.40000        3924.61510091          31.38510952
        4.50000        3921.47658996          31.87571718
        4.60000        3918.28901824          32.35865910
        4.70000        3915.05315233          32.83405505
        4.80000        3911.76974683          33.30202294
        4.90000        3908.43954453          33.76267883
        5.00000        3905.06327665          34.21613698
        5.10000        3901.64166295          34.66250984
        5.20000        3898.17541197          35.10190812
        5.30000        3894.66522115          35.53444081
        5.40000        3891.11177707          35.96021517
        5.50000        3887.51575556          36.37933681
        5.60000        3883.87782188          36.79190967
        5.70000        3880.19863091          37.19803608
        5.80000        3876.47882730          37.59781677
        5.90000        3872.71904563          37.99135088
        6.00000        3868.91991054          38.37873602
        6.10000        3865.08203694          38.76006827
        6.20000        3861.20603011          39.13544220
        6.30000        3857.29248589          39.50495092
        6.40000        3853.34199080          39.86868606
        6.50000        3849.35512219          40.22673784
        6.60000        3845.33244841          40.57919506
        6.70000        3841.27452890          40.92614514
        6.80000        3837.18191439          41.26767412
        6.90000        3833.05514697          41.60386671
        7.00000        3828.89476030          41.93480630
        7.10000        3824.70127967          42.26057495
        7.20000        3820.47522218          42.58125347
        7.30000        3816.21709683          42.89692138
        7.40000        3811.92740469          43.20765698
        7.50000        3807.60663899          43.51353734
        7.60000        3803.25528526          43.81463832
        7.70000        3798.87382143          44.11103460
        7.80000        3794.46271797          44.40279968
        7.90000        3790.02243800          44.69000594
        8.00000        3785.55343741          44.97272459
        8.10000        3781.05616495          45.25102577
        8.20000        3776.53106237          45.52497850
        8.30000        3771.97856452          45.79465071
        8.40000        3767.39909945          46.06010929
        8.50000        3762.79308852          46.32142008
        8.60000        3758.16094651          46.57864789
        8.70000        3753.50308172          46.83185652
        8.80000        3748.81989607          47.08110876
        8.90000        3744.11178519          47.32646644
        9.00000        3739.37913855          47.56799040
        9.10000        3734.62233951          47.80574055
